Epoch,Loss,set5,set11,set14
1,0.037803801968693734,0,17.918912248225123,0
2,0.014644969496876001,0,19.667957699969442,0
3,0.01214729979634285,0,16.259144297334363,0
4,0.010614048196002842,0,21.24981418405662,0
5,0.008914614710956812,0,21.84572863355676,0
6,0.008151128143072128,0,22.41473741541357,0
7,0.007585788890719414,0,18.159009528879622,0
8,0.009157204208895564,0,22.891674615256317,0
9,0.006703560408204794,0,23.53558218196854,0
10,0.006120243105106056,0,23.92534131209321,0
11,0.005801759422756732,0,24.232207146276313,0
12,0.0053930788999423385,0,24.43728698283734,0
13,0.005390618951059878,0,24.455116478265257,0
14,0.005159441595897079,0,24.851758714960894,0
15,0.0049316980363801124,0,25.046475281729407,0
16,0.005089974114671349,0,25.325603818857193,0
17,0.0046167517313733695,0,25.63274553641935,0
18,0.00706021131016314,0,24.271963257982964,0
19,0.004876888901926577,0,25.64590263744012,0
20,0.004438305078074336,0,25.86519458632746,0
21,0.004346023863181472,0,26.070333441368987,0
22,0.0041608144389465454,0,26.113168076062575,0
23,0.004214232373051345,0,26.27314159384724,0
24,0.00407495625782758,0,26.208995929132076,0
25,0.004186932942830026,0,26.286454600925367,0
26,0.004120664792135358,0,26.552192523578864,0
27,0.004054986336268484,0,26.465688482967604,0
28,0.0039139649644494056,0,26.60076322240678,0
29,0.003985930653288961,0,26.84265630683296,0
30,0.003781254943460226,0,26.901519939118263,0
31,0.003938878960907459,0,26.968394868510213,0
32,0.003804359105415642,0,26.602111822181545,0
33,0.003971803397871554,0,26.944824021535588,0
34,0.0036865708138793707,0,27.1058973049463,0
35,0.003686864557676017,0,27.146853243013243,0
36,0.0037489635683596134,0,26.009602524725903,0
37,0.003758728145621717,0,26.02230566964039,0
38,0.0035572594683617354,0,26.92404615217796,0
39,0.0035478954669088125,0,27.02518335923995,0
40,0.0037575648771598935,0,27.143194458738698,0
41,0.0037169737415388227,0,27.190734593070566,0
42,0.0034781786520034076,0,27.51062997263182,0
43,0.0035142000764608384,0,27.44141845045809,0
44,0.0035461166454479097,0,27.498230414905876,0
45,0.003658815138041973,0,26.472418929120135,0
46,0.0035292436415329574,0,27.504627349768747,0
47,0.003351573729887605,0,27.451984518029168,0
48,0.003319943253882229,0,27.60351234863642,0
49,0.003461099108681083,0,27.59534906035462,0
50,0.003280838769860566,0,27.603601831419947,0
51,0.0033972490252926948,0,27.463295026297093,0
52,0.003530977163463831,0,27.233675380540863,0
53,0.003474184339866042,0,27.536654814603764,0
54,0.00331028800457716,0,27.70822856363311,0
55,0.0034464299818500878,0,23.97010325602175,0
56,0.004324519345536828,0,27.37500958038628,0
57,0.0033664047392085194,0,27.73114224916545,0
58,0.003375002914108336,0,27.81240512469151,0
59,0.003272728170268238,0,27.692191443981873,0
60,0.003434620681218803,0,27.77634681662805,0
61,0.0034011759702116252,0,27.803977435874568,0
62,0.0032047151890583336,0,27.880502790497232,0
63,0.0032504234788939355,0,27.59293478961737,0
64,0.0033359943609684705,0,27.806133257675455,0
